GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pivot4J,com.eyeq.pivot4j.transform.impl,DrillExpandMemberImpl,0,24,0,0,0,8,0,5,0,5
Pivot4J,com.eyeq.pivot4j.transform.impl,DrillExpandPositionImpl,5,60,1,1,2,16,1,6,0,6
Pivot4J,com.eyeq.pivot4j.transform.impl,TransformFactoryImpl,2,21,1,3,1,5,1,3,0,2
Pivot4J,com.eyeq.pivot4j,NotInitializedException,3,4,0,0,2,2,1,1,1,1
Pivot4J,com.eyeq.pivot4j,PivotException,12,4,0,0,6,2,3,1,3,1
Pivot4J,com.eyeq.pivot4j,SortMode,9,69,0,0,0,7,2,2,2,2
Pivot4J,com.eyeq.pivot4j,ModelChangeEvent,4,4,0,0,1,2,1,1,1,1
Pivot4J,com.eyeq.pivot4j.mdx,SetExp,41,0,0,0,12,0,7,0,7,0
Pivot4J,com.eyeq.pivot4j.mdx,CUP.Parser.actions,3843,1439,88,35,570,243,82,35,0,2
Pivot4J,com.eyeq.pivot4j.mdx,Literal,156,0,14,0,41,0,20,0,13,0
Pivot4J,com.eyeq.pivot4j.mdx,QueryAxis,70,55,7,3,18,17,12,5,7,5
Pivot4J,com.eyeq.pivot4j.mdx,Parser,125,55,12,0,20,19,13,8,7,8
Pivot4J,com.eyeq.pivot4j.mdx,Formula,203,0,14,0,44,0,18,0,11,0
Pivot4J,com.eyeq.pivot4j.mdx,Lexer,4,4,0,0,2,2,1,1,1,1
Pivot4J,com.eyeq.pivot4j.mdx,Parameter,35,0,0,0,14,0,8,0,8,0
Pivot4J,com.eyeq.pivot4j.mdx,FunCall.new Object() {...},9,59,0,0,0,1,0,1,0,1
Pivot4J,com.eyeq.pivot4j.mdx,Yylex,466,597,103,57,128,153,109,48,8,16
Pivot4J,com.eyeq.pivot4j.mdx,MemberProperty,50,0,0,0,12,0,5,0,5,0
Pivot4J,com.eyeq.pivot4j.mdx,FunCall,264,179,22,20,59,44,20,15,6,5
Pivot4J,com.eyeq.pivot4j.mdx,ParseTreeNodeExp,81,54,13,5,23,16,15,5,6,5
Pivot4J,com.eyeq.pivot4j.mdx,CompoundId.NamePart,0,12,0,0,0,4,0,1,0,1
Pivot4J,com.eyeq.pivot4j.mdx,ParsedQuery,659,196,81,19,147,49,59,14,15,8
Pivot4J,com.eyeq.pivot4j.mdx,Syntax,5,146,0,0,0,16,1,4,1,4
Pivot4J,com.eyeq.pivot4j.mdx,CompoundId,74,75,4,4,15,16,7,6,5,4
Pivot4J,com.eyeq.pivot4j.query,UnknownExpressionException,26,0,0,0,8,0,4,0,4,0
Pivot4J,com.eyeq.pivot4j.query,QuaxUtil,1525,316,290,42,349,71,186,25,28,17
Pivot4J,com.eyeq.pivot4j.query,Quax.new TreeNodeCallback() {...},17,70,4,10,5,18,3,6,0,2
Pivot4J,com.eyeq.pivot4j.query,ExpGenerator,52,314,11,37,14,73,10,20,0,6
